ID,BOM_PAGADOR,BOM,GENERO,TEM_CARRO,IMOVEL_PROPRIO,N_FILHOS,RENDIMENTO_ANUAL,CAT_RENDA,ESCOLARIDADE,ESTADO_CIVIL,TIPO_RESIDENCIA,TEM_TELEFONE_FIXO,OCUPACAO,TAM_FAMILIA,IDADE,ANOS_EMPREGO
5008893,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008894,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008895,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008896,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008897,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008898,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008899,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008900,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008901,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008902,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008903,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008904,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008905,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008906,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008907,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008908,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008909,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008910,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008911,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008912,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008913,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008914,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008915,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008916,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008917,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008918,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008919,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008920,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008921,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008922,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008923,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008924,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008925,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008926,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008927,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008928,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008929,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008930,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008931,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008932,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008933,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008934,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008935,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008936,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008937,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008938,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008939,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008940,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008941,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008942,1.0,1,F,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,1,Lider tech,2.0,38,14
5008943,1.0,1,F,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,1,Lider tech,2.0,38,14
5008944,1.0,1,F,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,1,Lider tech,2.0,38,14
5008945,1.0,1,F,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,1,Lider tech,2.0,38,14
5008946,1.0,1,F,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,1,Lider tech,2.0,38,14
5008947,1.0,1,M,0,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,43,4
5008948,1.0,1,M,0,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,43,4
5008949,1.0,1,M,0,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,43,4
5008950,1.0,1,M,0,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,43,4
5008951,1.0,1,M,0,1,1,225000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,Outro,3.0,29,8
5008952,1.0,1,M,0,1,1,225000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,Outro,3.0,29,8
5008953,1.0,1,M,0,1,1,225000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,Outro,3.0,29,8
5008954,1.0,1,M,0,1,1,225000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,Outro,3.0,29,8
5008955,1.0,1,F,1,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,5
5008956,1.0,1,F,1,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,5
5008957,1.0,1,F,1,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,5
5008958,1.0,1,F,1,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,5
5008959,1.0,1,F,1,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,5
5008960,1.0,1,F,1,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,5
5008962,1.0,1,F,1,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,5
5008963,1.0,1,F,1,1,0,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,5
5008966,1.0,1,M,0,1,0,157500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,Outro,2.0,44,3
5008967,1.0,1,M,0,1,0,157500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,Outro,2.0,44,3
5008971,1.0,1,M,0,1,0,157500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,Outro,2.0,44,3
5008973,1.0,1,M,0,1,0,157500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,Outro,2.0,44,3
5008974,1.0,1,F,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa/apartamento,0,Outro,2.0,62,-1000
5008975,1.0,1,F,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa/apartamento,0,Outro,2.0,62,-1000
5008976,1.0,1,F,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa/apartamento,0,Outro,2.0,62,-1000
5008977,1.0,1,F,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa/apartamento,0,Outro,2.0,62,-1000
5008978,1.0,1,F,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa/apartamento,0,Outro,2.0,62,-1000
5008979,1.0,1,F,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa/apartamento,0,Outro,2.0,62,-1000
5008980,1.0,1,F,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa/apartamento,0,Outro,2.0,62,-1000
5008981,1.0,1,M,1,1,0,112500.0,Servidor do Estado,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,58,7
5008983,1.0,1,M,1,1,0,112500.0,Servidor do Estado,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,58,7
5008984,1.0,1,M,1,1,0,112500.0,Servidor do Estado,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,58,7
5008986,1.0,1,M,1,1,0,112500.0,Servidor do Estado,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,58,7
5008987,1.0,1,M,1,1,0,112500.0,Servidor do Estado,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,58,7
5008988,1.0,1,M,1,1,0,112500.0,Servidor do Estado,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,58,7
5008991,1.0,1,F,1,1,0,270000.0,Trabalhando,Ensino medio,Separado,Casa/apartamento,1,Limpeza,1.0,46,4
5008992,1.0,1,F,1,1,0,270000.0,Trabalhando,Ensino medio,Separado,Casa/apartamento,1,Limpeza,1.0,46,4
5008993,1.0,1,F,1,1,0,270000.0,Trabalhando,Ensino medio,Separado,Casa/apartamento,1,Limpeza,1.0,46,4
5008994,1.0,1,F,1,1,0,270000.0,Trabalhando,Ensino medio,Separado,Casa/apartamento,1,Limpeza,1.0,46,4
5008995,1.0,1,F,1,1,0,270000.0,Trabalhando,Ensino medio,Separado,Casa/apartamento,1,Limpeza,1.0,46,4
5008998,1.0,1,F,1,1,0,270000.0,Trabalhando,Ensino superior,Casado,Casa/apartamento,0,Gerente,2.0,30,3
5008999,1.0,1,F,1,1,0,270000.0,Trabalhando,Ensino superior,Casado,Casa/apartamento,0,Gerente,2.0,30,3
5009000,1.0,1,M,1,1,0,157500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,Motorista,2.0,28,3
5009001,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009002,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009005,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009006,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009007,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009008,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009009,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009010,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009012,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009014,1.0,1,M,0,1,0,166500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,52,18
5009016,1.0,1,F,0,1,2,216000.0,Servidor do Estado,Ensino superior,Casado,Casa/apartamento,0,Outro,4.0,43,9
5009018,1.0,1,F,0,1,2,216000.0,Servidor do Estado,Ensino superior,Casado,Casa/apartamento,0,Outro,4.0,43,9
5009019,1.0,1,F,0,1,2,216000.0,Servidor do Estado,Ensino superior,Casado,Casa/apartamento,0,Outro,4.0,43,9
5009020,1.0,1,F,0,1,2,216000.0,Servidor do Estado,Ensino superior,Casado,Casa/apartamento,0,Outro,4.0,43,9
5009022,1.0,1,F,0,1,2,216000.0,Servidor do Estado,Ensino superior,Casado,Casa/apartamento,0,Outro,4.0,43,9
5009023,1.0,1,F,0,1,2,216000.0,Servidor do Estado,Ensino superior,Casado,Casa/apartamento,0,Outro,4.0,43,9
5009024,1.0,1,F,0,1,2,216000.0,Servidor do Estado,Ensino superior,Casado,Casa/apartamento,0,Outro,4.0,43,9
5009025,1.0,1,F,0,1,2,216000.0,Servidor do Estado,Ensino superior,Casado,Casa/apartamento,0,Outro,4.0,43,9
5009027,1.0,1,F,1,1,0,270000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,55,30
5009028,1.0,1,F,1,1,0,225000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,40,8
5009029,1.0,1,F,1,1,0,225000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,40,8
5009031,1.0,1,F,0,1,0,315000.0,Trabalhando,Ensino medio,Solteiro,Casa/apartamento,0,Contador,1.0,29,4
5009032,1.0,1,F,0,1,0,315000.0,Trabalhando,Ensino medio,Solteiro,Casa/apartamento,0,Contador,1.0,29,4
5009033,1.0,1,F,0,0,0,255150.0,Pensionista,Superior incompleto,Uniao estavel,Apartamento alugado,0,Outro,2.0,52,-1000
5009034,1.0,1,F,0,0,0,255150.0,Pensionista,Superior incompleto,Uniao estavel,Apartamento alugado,0,Outro,2.0,52,-1000
5009035,1.0,1,F,0,0,0,255150.0,Pensionista,Superior incompleto,Uniao estavel,Apartamento alugado,0,Outro,2.0,52,-1000
5009036,1.0,1,F,0,0,0,255150.0,Pensionista,Superior incompleto,Uniao estavel,Apartamento alugado,0,Outro,2.0,52,-1000
5009037,1.0,1,F,0,0,0,255150.0,Pensionista,Superior incompleto,Uniao estavel,Apartamento alugado,0,Outro,2.0,52,-1000
5009038,1.0,1,F,0,0,0,255150.0,Pensionista,Superior incompleto,Uniao estavel,Apartamento alugado,0,Outro,2.0,52,-1000
5009039,1.0,1,F,0,1,2,157500.0,Trabalhando,Ensino medio,Solteiro,Casa/apartamento,0,Lider de equipe,3.0,40,2
5009040,1.0,1,F,0,1,2,157500.0,Trabalhando,Ensino medio,Solteiro,Casa/apartamento,0,Lider de equipe,3.0,40,2
5009042,1.0,1,F,0,1,0,148500.0,Trabalhando,Ensino superior,Casado,Casa/apartamento,0,Lider de equipe,2.0,49,3
5009043,1.0,1,F,0,1,0,148500.0,Trabalhando,Ensino superior,Casado,Casa/apartamento,0,Lider de equipe,2.0,49,3
5009044,1.0,1,F,0,1,0,148500.0,Trabalhando,Ensino superior,Casado,Casa/apartamento,0,Lider de equipe,2.0,49,3
5009045,1.0,1,F,0,1,0,148500.0,Trabalhando,Ensino superior,Casado,Casa/apartamento,0,Lider de equipe,2.0,49,3
5009046,1.0,1,F,0,1,0,148500.0,Trabalhando,Ensino superior,Casado,Casa/apartamento,0,Lider de equipe,2.0,49,3
